episode,step,hand_pos_array,cube_pos_array,pillar1_pos_array,pillar2_pos_array,pillar3_pos_array,pillar4_pos_array,destination_pos_array,finger_distance_array,pos_action_array
0,0,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000049471855164, 0.41499972343444824]","[0.3321857154369354, 0.00030602022889070213, 0.47567352652549744]","[0.43105408549308777, -0.004022896755486727, 0.47566941380500793]","[0.560267448425293, 0.004210035782307386, 0.47567301988601685]","[0.6668397784233093, 0.000745643861591816, 0.4756711721420288]","[[0.5, 0.20000000298023224, 0.41091665625572205]]",6.664002e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,1,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000049471855164, 0.41499972343444824]","[0.33153992891311646, 0.0003355286316946149, 0.47558608651161194]","[0.43092820048332214, -0.003392702667042613, 0.47558239102363586]","[0.5601308345794678, 0.0035743596963584423, 0.4755849838256836]","[0.6674588322639465, 0.000545492279343307, 0.4755830764770508]","[[0.5, 0.20000000298023224, 0.4047916531562805]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,2,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000049471855164, 0.41499972343444824]","[0.33061572909355164, 0.00037397892447188497, 0.47545138001441956]","[0.4307517409324646, -0.002488064579665661, 0.4754478931427002]","[0.5599409937858582, 0.002665019826963544, 0.4754496216773987]","[0.6683433055877686, 0.000259211752563715, 0.475447416305542]","[[0.5, 0.20000001788139343, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,3,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000050961971283, 0.41499972343444824]","[0.3293902575969696, 0.0004223840369377285, 0.4752548635005951]","[0.4305201470851898, -0.0012869026977568865, 0.4752516746520996]","[0.5596932172775269, 0.0014595604734495282, 0.4752521812915802]","[0.6695151925086975, -0.00012031987716909498, 0.4752495586872101]","[[0.5, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,4,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000049471855164, 0.41499972343444824]","[0.3278828263282776, 0.000421259697759524, 0.47507965564727783]","[0.4302064776420593, 0.00021487456979230046, 0.4750303328037262]","[0.559481680393219, -1.0349438525736332e-05, 0.4751078188419342]","[0.6709495186805725, -0.00048716727178543806, 0.4751110374927521]","[[0.5, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,5,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000050961971283, 0.41499972343444824]","[0.3267057538032532, 0.00024042328004725277, 0.47523030638694763]","[0.429826557636261, 0.0012620678171515465, 0.4752262532711029]","[0.5594877600669861, -0.0012421573046594858, 0.47523441910743713]","[0.6721779108047485, -0.0006183862569741905, 0.4752363860607147]","[[0.5000000596046448, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,6,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000050961971283, 0.41499972343444824]","[0.3259073793888092, 9.276734635932371e-05, 0.47536250948905945]","[0.42951467633247375, 0.0019732580985873938, 0.47535184025764465]","[0.5594846606254578, -0.002052429597824812, 0.47536715865135193]","[0.6729854345321655, -0.0007106162956915796, 0.47536927461624146]","[[0.5, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,7,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000050961971283, 0.41499972343444824]","[0.325431764125824, -5.4004747653380036e-05, 0.47543707489967346]","[0.42926138639450073, 0.0023655290715396404, 0.475419819355011]","[0.5595232248306274, -0.0025433311238884926, 0.4754425287246704]","[0.6734808683395386, -0.0007243904983624816, 0.47544485330581665]","[[0.5, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,8,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000049471855164, 0.41499972343444824]","[0.3252675235271454, -0.00020376422617118806, 0.47546160221099854]","[0.4290601313114166, 0.0024483862798660994, 0.4754371643066406]","[0.5596047639846802, -0.002726460574194789, 0.4754681885242462]","[0.6736760139465332, -0.0006597227766178548, 0.4754708409309387]","[[0.5000000596046448, 0.20000000298023224, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
0,9,"[0.3975324034690857, -0.13107743859291077, 0.7236269116401672]","[0.5000011324882507, -0.20000050961971283, 0.41499972343444824]","[0.3254106640815735, -0.00036047407775186, 0.4754389822483063]","[0.4289056956768036, 0.0022237938828766346, 0.4754059910774231]","[0.5597315430641174, -0.0026058650109916925, 0.4754471182823181]","[0.6735754013061523, -0.0005147262127138674, 0.47545018792152405]","[[0.5000000596046448, 0.20000001788139343, 0.4050000011920929]]",6.143906e-08,"[[3.1414999961853027, -1.3000000715255737, -1.399999976158142, -1.5707502365112305, 1.5707497596740723, -0.023700056597590446, 0.0, 0.0]]"
